REPORT_ID,UND_UNIT_NUMBER,CASUALTY_NUMBER,Casualty Type,Sex_x,AGE,Position In Veh,Thrown Out,Injury Extent,Seat Belt,Unit Type,Licence Type,Unit Movement,Number Occupants,Stats Area,Total Units,Total Cas,Day,Time,Area Speed,Position Type,Horizontal Align,Vertical Align,Moisture Cond,Weather Cond,DayNight,Crash Type,Traffic Ctrls
2017-4272-15/08/2019,2,1,Driver,Female,066,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Right Turn,1.0,3 Country,2,1,Tuesday,03:05 pm,60,T-Junction,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Daylight,Right Turn,No Control
2017-4276-15/08/2019,1,1,Driver,Female,024,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,3,2,Tuesday,02:36 pm,90,Cross Road,Straight road,Bottom of Hill,Dry,Not Raining,Daylight,Rear End,Stop Sign
2017-4276-15/08/2019,3,1,Driver,Female,069,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,3,2,Tuesday,02:36 pm,90,Cross Road,Straight road,Bottom of Hill,Dry,Not Raining,Daylight,Rear End,Stop Sign
2017-4278-15/08/2019,2,1,Rider,Male,054,,Thrown Out,Treated at Hospital,,Pedal Cycle,,Straight Ahead,1.0,1 City,2,1,Tuesday,05:30 pm,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
2017-4279-15/08/2019,2,1,Pedestrian,Male,017,,,Treated at Hospital,,Pedestrian on Road,,Crossing without Control,,1 City,2,1,Tuesday,03:20 pm,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
2017-4281-15/08/2019,1,1,Driver,Female,059,Driver,Not Thrown Out,Treated at Hospital,Fitted - Unknown if Worn,Motor Cars - Sedan,Full,U Turn,1.0,1 City,2,1,Tuesday,04:50 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2017-4284-15/08/2019,2,1,Driver,Male,027,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Station Wagon,Full,Stopped on Carriageway,2.0,2 Metropolitan,3,1,Tuesday,06:00 pm,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Rear End,No Control
2017-4286-15/08/2019,1,1,Passenger,Male,055,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Other Defined Special Vehicle,Full,Straight Ahead,2.0,3 Country,2,1,Tuesday,07:30 pm,110,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Parked Vehicle,No Control
2017-4287-15/08/2019,1,1,Driver,Female,047,Driver,Not Thrown Out,By Private,Fitted - Worn,Station Wagon,Full,Stopped on Carriageway,2.0,2 Metropolitan,2,2,Wednesday,08:10 am,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Roundabout
2017-4287-15/08/2019,1,2,Passenger,Female,XXX,Front Seat Left Passenger,Not Thrown Out,By Private,Fitted - Worn,Station Wagon,Full,Stopped on Carriageway,2.0,2 Metropolitan,2,2,Wednesday,08:10 am,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Roundabout
2017-4293-15/08/2019,2,1,Pedestrian,Male,070,,,Treated at Hospital,,Pedestrian on Road,,Crossing without Control,,2 Metropolitan,2,1,Wednesday,10:07 am,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
2017-4295-15/08/2019,1,1,Driver,Female,061,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Tuesday,12:20 pm,80,Not Divided,Straight road,Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-4297-15/08/2019,1,1,Driver,Male,047,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Right Turn,1.0,2 Metropolitan,2,1,Tuesday,06:25 am,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,Stop Sign
2017-4298-15/08/2019,2,1,Pedestrian,Male,075,,,Admitted to Hospital,,Pedestrian on Road,,Crossing without Control,,2 Metropolitan,2,1,Wednesday,10:14 am,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
2017-4301-15/08/2019,2,1,Driver,Female,022,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,2.0,2 Metropolitan,2,1,Wednesday,09:15 am,70,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2017-4303-15/08/2019,1,1,Driver,Female,038,Driver,Not Thrown Out,By Private,Fitted - Worn,Station Wagon,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Wednesday,12:30 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
2017-4304-15/08/2019,3,1,Rider,Male,012,,Thrown Out,By Private,,Pedal Cycle,,Straight Ahead,1.0,2 Metropolitan,3,1,Tuesday,03:15 pm,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
2017-4305-15/08/2019,1,1,Driver,Male,058,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,RIGID TRUCK LGE GE 4.5T,Full,Straight Ahead,1.0,3 Country,2,1,Wednesday,10:34 am,110,Not Divided,"CURVED, VIEW OBSCURED",Level,Wet,Raining,Daylight,Head On,No Control
2017-4308-15/08/2019,1,1,Driver,Male,074,Driver,Not Thrown Out,By Private,Fitted - Worn,Utility,Full,Right Turn,1.0,2 Metropolitan,2,1,Wednesday,01:50 pm,60,Cross Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2017-4310-15/08/2019,1,1,Driver,Female,048,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Wednesday,08:50 am,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Roundabout
2017-4313-15/08/2019,1,1,Driver,Male,077,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,1.0,2 Metropolitan,3,1,Saturday,03:00 pm,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-4314-15/08/2019,1,1,Driver,Male,061,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Utility,Full,Stopped on Carriageway,2.0,2 Metropolitan,2,1,Wednesday,02:35 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2017-4315-15/08/2019,2,1,Pedestrian,Female,077,,,By Private,,Motorised Wheelchair/Gopher,,Walking on Footpath,,3 Country,2,1,Wednesday,02:00 pm,50,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
2017-4316-15/08/2019,3,1,Driver,Female,035,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,1.0,2 Metropolitan,3,1,Wednesday,04:00 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Give Way Sign
2017-4318-15/08/2019,1,1,Driver,Female,030,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,3.0,2 Metropolitan,2,2,Wednesday,03:37 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
2017-4318-15/08/2019,2,1,Driver,Female,053,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Full,Right Turn,1.0,2 Metropolitan,2,2,Wednesday,03:37 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
2017-4320-15/08/2019,2,1,Rider,Male,025,Rider of Motorcycle,Thrown Out,Treated at Hospital,,Motor Cycle,Learners,Straight Ahead,1.0,2 Metropolitan,2,1,Wednesday,04:10 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
2017-4324-15/08/2019,1,1,Driver,Female,037,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Learners,Overtaking - on Right,1.0,2 Metropolitan,3,1,Wednesday,05:27 pm,100,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
2017-4326-15/08/2019,1,1,Driver,Male,072,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,3 Country,3,1,Wednesday,04:00 pm,100,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-4334-15/08/2019,1,1,Driver,Male,055,Driver,Not Thrown Out,By Private,Fitted - Worn,Station Wagon,Full,Stopped on Carriageway,2.0,2 Metropolitan,2,2,Thursday,07:35 am,110,Freeway,Straight road,Slope,Dry,Not Raining,Daylight,Rear End,No Control
2017-4334-15/08/2019,1,2,Passenger,Female,053,Front Seat Left Passenger,Not Thrown Out,By Private,Fitted - Worn,Station Wagon,Full,Stopped on Carriageway,2.0,2 Metropolitan,2,2,Thursday,07:35 am,110,Freeway,Straight road,Slope,Dry,Not Raining,Daylight,Rear End,No Control
2017-4337-15/08/2019,1,1,Driver,Female,039,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Swerving,2.0,2 Metropolitan,2,2,Thursday,07:30 am,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-4337-15/08/2019,1,2,Passenger,Female,038,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Swerving,2.0,2 Metropolitan,2,2,Thursday,07:30 am,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-4343-15/08/2019,2,1,Driver,Male,046,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Taxi Cab,Full,Straight Ahead,1.0,2 Metropolitan,3,1,Thursday,08:10 am,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-4347-15/08/2019,1,1,Driver,Female,032,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,3,1,Thursday,10:50 am,80,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-4351-15/08/2019,1,1,Driver,Female,020,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Provisional 2,Straight Ahead,1.0,2 Metropolitan,2,1,Thursday,10:32 am,100,Freeway,Straight road,Crest of Hill,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-4352-15/08/2019,1,1,Driver,Female,068,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Full,Leaving Private Driveway,1.0,3 Country,2,2,Thursday,12:00 pm,100,Not Divided,Straight road,Level,Wet,Not Raining,Daylight,Right Angle,No Control
2017-4352-15/08/2019,2,1,Driver,Female,061,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Full,Straight Ahead,2.0,3 Country,2,2,Thursday,12:00 pm,100,Not Divided,Straight road,Level,Wet,Not Raining,Daylight,Right Angle,No Control
2017-4356-15/08/2019,1,1,Pedestrian,Male,XXX,,,By Private,,Pedestrian on Road,,Walking on Road,,1 City,2,1,Saturday,02:21 pm,50,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
2017-4360-15/08/2019,1,1,Driver,Male,031,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Thursday,02:45 pm,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-4365-15/08/2019,1,1,Rider,Male,042,Rider of Motorcycle,Thrown Out,By Private,,Motor Cycle,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Thursday,04:20 pm,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
2017-4369-15/08/2019,2,1,Rider,Male,026,Rider of Motorcycle,Thrown Out,Treated at Hospital,,Motor Cycle,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Wednesday,05:30 pm,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,Stop Sign
2017-4372-15/08/2019,1,1,Driver,Female,023,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Thursday,03:40 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2017-4375-15/08/2019,1,1,Rider,Male,040,Rider of Motorcycle,Thrown Out,Fatal,,Motor Cycle,Full,Straight Ahead,1.0,3 Country,2,1,Thursday,01:15 pm,80,Divided Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-4378-15/08/2019,1,1,Driver,Male,033,Driver,Not Thrown Out,By Private,Fitted - Worn,Station Wagon,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Thursday,08:00 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Night,Rear End,No Control
2017-4379-15/08/2019,2,1,Pedestrian,Male,034,,,Treated at Hospital,,Pedestrian on Road,,Crossing without Control,,2 Metropolitan,2,1,Friday,06:45 am,80,Divided Road,Straight road,Level,Dry,Not Raining,Night,Hit Pedestrian,No Control
2017-4383-15/08/2019,1,1,Driver,Male,059,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Thursday,01:15 pm,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2017-4386-15/08/2019,2,1,Pedestrian,Female,054,,,Treated at Hospital,,Pedestrian on Road,,Crossing without Control,,2 Metropolitan,2,1,Friday,09:08 am,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
2017-4390-15/08/2019,1,1,Rider,Male,XXX,Rider of Motorcycle,Thrown Out,Treated at Hospital,,Motor Cycle,Full,Straight Ahead,1.0,2 Metropolitan,1,1,Friday,11:36 am,60,Divided Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Roll Over,No Control
2017-4396-15/08/2019,1,1,Driver,Female,068,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Tuesday,07:30 pm,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Angle,Roundabout
2017-4398-15/08/2019,2,1,Driver,Female,024,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Right Turn,3.0,2 Metropolitan,2,2,Friday,01:25 pm,80,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
2017-4398-15/08/2019,2,2,Passenger,Female,003,Rear Seat Right Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Right Turn,3.0,2 Metropolitan,2,2,Friday,01:25 pm,80,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
2017-4400-15/08/2019,1,1,Rider,Male,038,Rider of Motorcycle,Thrown Out,Treated at Hospital,,Scooter,Full,Straight Ahead,1.0,2 Metropolitan,1,1,Wednesday,07:40 am,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Roll Over,No Control
2017-4403-15/08/2019,2,1,Rider,Male,034,Rider of Motorcycle,Not Thrown Out,Treated at Hospital,,Motor Cycle,Full,Right Turn,1.0,2 Metropolitan,2,1,Friday,03:59 pm,80,Multiple,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,Roundabout
2017-4407-15/08/2019,2,1,Driver,Female,018,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Provisional 1 ,Swerving,1.0,1 City,2,1,Friday,05:10 pm,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2017-4409-15/08/2019,1,1,Driver,Female,047,Driver,Not Thrown Out,By Private,Fitted - Worn,Station Wagon,Full,Stopped on Carriageway,1.0,2 Metropolitan,4,1,Friday,05:45 pm,60,Not Divided,Straight road,Level,Dry,Not Raining,Night,Rear End,No Control
2017-4412-15/08/2019,1,1,Driver,Female,060,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Station Wagon,Unknown,Straight Ahead,3.0,3 Country,2,3,Friday,04:20 pm,100,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-4412-15/08/2019,1,2,Passenger,Female,072,Front Seat Left Passenger,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Station Wagon,Unknown,Straight Ahead,3.0,3 Country,2,3,Friday,04:20 pm,100,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-4412-15/08/2019,1,3,Passenger,Male,070,Rear Seat Left Passenger,Thrown Out,Admitted to Hospital,Fitted - Unknown if Worn,Station Wagon,Unknown,Straight Ahead,3.0,3 Country,2,3,Friday,04:20 pm,100,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-4414-15/08/2019,1,1,Driver,Female,017,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Motor Cars - Sedan,Learners,Straight Ahead,2.0,3 Country,2,2,Friday,05:03 pm,100,Not Divided,"CURVED, VIEW OPEN",Level,Wet,Not Raining,Daylight,Hit Fixed Object,No Control
2017-4414-15/08/2019,1,2,Passenger,Female,040,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Learners,Straight Ahead,2.0,3 Country,2,2,Friday,05:03 pm,100,Not Divided,"CURVED, VIEW OPEN",Level,Wet,Not Raining,Daylight,Hit Fixed Object,No Control
2017-4415-15/08/2019,2,1,Passenger,Female,XXX,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Provisional 1 ,Straight Ahead,2.0,2 Metropolitan,2,1,Friday,07:30 pm,50,T-Junction,Straight road,Level,Dry,Not Raining,Night,Right Angle,No Control
2017-4417-15/08/2019,1,1,Rider,Male,027,Rider of Motorcycle,Thrown Out,Admitted to Hospital,,Motor Cycle,Unlicenced,Straight Ahead,1.0,2 Metropolitan,2,1,Friday,07:25 pm,50,Not Divided,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
2017-4419-15/08/2019,2,1,Driver,Male,043,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Friday,09:56 pm,40,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Turn,Traffic Signals
2017-4420-15/08/2019,1,1,Driver,Female,025,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Friday,06:15 pm,60,T-Junction,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Night,Rear End,Traffic Signals
2017-4421-15/08/2019,2,1,Rider,Male,029,,Thrown Out,Treated at Hospital,,Pedal Cycle,,Straight Ahead,1.0,2 Metropolitan,2,1,Friday,08:00 am,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,Traffic Signals
2017-4426-15/08/2019,1,1,Driver,Male,038,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,2.0,3 Country,2,2,Saturday,08:15 am,80,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
2017-4426-15/08/2019,1,2,Passenger,Female,030,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,2.0,3 Country,2,2,Saturday,08:15 am,80,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
2017-4429-15/08/2019,1,1,Driver,Female,031,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Provisional 2,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Friday,02:30 pm,60,Rail Crossing,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Rail Xing-Traffic Signals
2017-4433-15/08/2019,1,1,Driver,Female,025,Driver,Not Thrown Out,Treated at Hospital,Fitted - Unknown if Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,3 Country,2,1,Friday,10:40 pm,110,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Night,Roll Over,No Control
2017-4435-15/08/2019,2,1,Driver,Female,021,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,2.0,2 Metropolitan,4,1,Saturday,02:25 pm,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-4438-15/08/2019,1,1,Driver,Female,XXX,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Motor Cars - Sedan,Unknown,Swerving,1.0,3 Country,2,1,Saturday,03:30 am,110,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Night,Roll Over,No Control
2017-4441-15/08/2019,1,1,Driver,Male,XXX,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Not Worn,Station Wagon,Unlicenced,Straight Ahead,1.0,3 Country,2,1,Wednesday,03:00 am,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
2017-4442-15/08/2019,2,1,Passenger,Female,019,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Full,Right Turn,2.0,2 Metropolitan,2,1,Friday,05:30 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Night,Right Angle,No Control
2017-4443-15/08/2019,1,1,Driver,Female,047,Driver,Not Thrown Out,By Private,Fitted - Worn,Station Wagon,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Thursday,08:00 am,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2017-4451-15/08/2019,1,1,Driver,Male,037,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Unknown if Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,4,1,Sunday,06:15 am,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
2017-4452-15/08/2019,1,1,Driver,Male,021,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Full,Straight Ahead,1.0,3 Country,1,1,Saturday,08:00 pm,100,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Night,Roll Over,No Control
2017-4453-15/08/2019,1,1,Passenger,Male,049,Front Seat Left Passenger,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Unknown,Stopped on Carriageway,2.0,2 Metropolitan,2,1,Sunday,01:49 pm,60,Cross Road,Straight road,Slope,Dry,Not Raining,Daylight,Rear End,Roundabout
2017-4455-15/08/2019,1,1,Rider,Male,063,Rider of Motorcycle,Thrown Out,Admitted to Hospital,,Motor Cycle,Full,Straight Ahead,1.0,2 Metropolitan,3,1,Sunday,12:05 pm,80,Not Divided,"CURVED, VIEW OBSCURED",Crest of Hill,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-4460-15/08/2019,2,1,Passenger,Female,038,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Learners,Right Turn,2.0,2 Metropolitan,2,1,Sunday,02:40 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
2017-4461-15/08/2019,1,1,Driver,Female,024,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,2.0,2 Metropolitan,2,1,Thursday,05:55 pm,60,Divided Road,Straight road,Slope,Dry,Not Raining,Night,Rear End,No Control
2017-4463-15/08/2019,2,1,Driver,Female,030,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Sunday,06:45 pm,80,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Turn,Traffic Signals
2017-4464-15/08/2019,1,1,Driver,Female,019,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Provisional 2,Straight Ahead,1.0,2 Metropolitan,2,1,Sunday,09:10 pm,60,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Parked Vehicle,No Control
2017-4466-15/08/2019,1,1,Rider,Male,049,,Thrown Out,Treated at Hospital,,Pedal Cycle,,Straight Ahead,1.0,2 Metropolitan,1,1,Sunday,11:00 am,60,Divided Road,Straight road,Slope,Dry,Not Raining,Daylight,Roll Over,No Control
2017-4470-15/08/2019,1,1,Driver,Female,054,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Right Turn,1.0,2 Metropolitan,2,1,Monday,08:23 am,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,Give Way Sign
2017-4472-15/08/2019,2,1,Rider,Male,039,,Thrown Out,Treated at Hospital,,Pedal Cycle,,Straight Ahead,1.0,1 City,2,1,Monday,08:00 am,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
2017-4474-15/08/2019,1,1,Driver,Male,043,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Monday,08:30 am,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
2017-4475-15/08/2019,2,1,Pedestrian,Male,081,,,Treated at Hospital,,Motorised Wheelchair/Gopher,,Crossing without Control,,2 Metropolitan,2,1,Monday,11:05 am,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
2017-4478-15/08/2019,1,1,Driver,Female,036,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Full,Stopped on Carriageway,2.0,3 Country,2,2,Monday,09:30 am,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-4478-15/08/2019,1,2,Passenger,Male,001,Rear Seat Middle Passenger,Not Thrown Out,Treated at Hospital,Child Restraint - Worn,Station Wagon,Full,Stopped on Carriageway,2.0,3 Country,2,2,Monday,09:30 am,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-4479-15/08/2019,1,1,Passenger,Female,008,Front Seat Left Passenger,Not Thrown Out,By Private,Fitted - Worn,Station Wagon,Full,Straight Ahead,2.0,2 Metropolitan,2,1,Monday,11:48 am,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
2017-4480-15/08/2019,1,1,Driver,Male,047,Driver,Not Thrown Out,By Private,Fitted - Worn,Station Wagon,Full,Overtaking - on Right,1.0,2 Metropolitan,2,1,Sunday,05:00 pm,40,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2017-4485-15/08/2019,1,1,Rider,Female,038,Rider of Motorcycle,Thrown Out,Treated at Hospital,,Scooter,Provisional 2,Swerving,1.0,2 Metropolitan,2,1,Monday,03:00 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
